station,name,lat,lon,"last date",sum,02/24/2021,02/25/2021,02/26/2021,02/27/2021,02/28/2021,03/01/2021,03/02/2021
80067,"CHARLTON (DONALD ST)",-36.2715,143.3450,03/02/2021,0,0,0,0,0,0,0,0
86020,"CHELTENHAM KINGSTON CENTRE",-37.9550,145.0783,03/02/2021,0.1,0,0,0.1,0,0,0,0
82010,"CHILTERN (POST OFFICE)",-36.1491,146.6106,03/02/2021,0,0,0,0,0,0,0,0
84009,"CLUB TERRACE",-37.5414,148.9386,03/02/2021,2,0,0,0,0,0,0,2
88015,CLUNES,-37.3049,143.7776,03/02/2021,0.6,0,0,0.6,0,0,0,0
90021,"COBDEN (POST OFFICE)",-38.3291,143.0779,03/02/2021,2,0,0,0,0,0,0,2
80109,"COBRAM (GOULBURN MURRAY)",-35.9119,145.6447,03/02/2021,0,0,0,0,0,0,0,0
90035,"COLAC (MOUNT GELLIBRAND)",-38.2332,143.7924,03/02/2021,0.6,0,0,0.2,0,0.2,0.2,0
90147,"COLAC (SHIRE OFFICE)",-38.3427,143.5848,03/02/2021,1.4,0,0,0.2,0,0,0.2,1
90022,"COLAC AIRPORT",-38.2798,143.6613,03/02/2021,0,0,0,0,0,0,0,0
81008,COLBINABBIN,-36.5421,144.7751,03/02/2021,0,0,0,0,0,0,0,0
86383,COLDSTREAM,-37.7239,145.4092,03/02/2021,0,0,0,0,0,0,0,0
84143,"COMBIENBAR AWS",-37.3416,149.0227,03/02/2021,0.2,0,0.2,0,0,0,0,0
85301,"CORNER INLET (YANAKIE)",-38.8051,146.1936,03/02/2021,0,0,0,0,0,0,0,0
82169,"CORRYONG AIRPORT",-36.1826,147.8942,03/02/2021,1.2,0,1.2,0,0,0,0,0
89010,CRESSY,-38.0296,143.6330,03/02/2021,1.2,0,0,1.2,0,0,0,0
84012,DARGO,-37.4522,147.2506,03/02/2021,0,0,0,0,0,0,0,0
85160,"DARRIMAN (TARRALANGI)",-38.4191,146.9656,03/02/2021,4.4,0,3,0,0,0,0,1.4
90194,DARTMOOR,-37.9222,141.2614,03/02/2021,1,0,0,1,0,0,0,0
82076,"DARTMOUTH RESERVOIR",-36.5352,147.4984,03/02/2021,0,0,0,0,0,0,0,0
88020,DAYLESFORD,-37.3432,144.1575,03/02/2021,0,0,0,0,0,0,0,0
82090,DEDERANG,-36.4793,147.0297,03/02/2021,0,0,0,0,0,0,0,0
89103,"DERRINALLUM (CRAIGMORE)",-37.9708,143.2189,03/02/2021,0.8,0,0,0.8,0,0,0,0
89074,"DERRINALLUM (POST OFFICE)",-37.9477,143.2222,03/02/2021,1.6,0,0,1.6,0,0,0,0
78010,DIMBOOLA,-36.4644,142.0327,03/02/2021,0,0,0,0,0,0,0,0
78072,DONALD,-36.3611,143.0038,03/02/2021,0,0,0,0,0,0,0,0
81085,DUNOLLY,-36.8593,143.7295,03/02/2021,0,0,0,0,0,0,0,0
85072,"EAST SALE",-38.1156,147.1322,03/02/2021,1.2,0,0,1.2,0,0,0,0
85314,"EAST SALE AIRPORT",-38.1017,147.1399,03/02/2021,1,0,0,0.8,0.2,0,0,0
80015,"ECHUCA AERODROME",-36.1648,144.7643,03/02/2021,0,0,0,0,0,0,0,0
79099,"EDENHOPE AIRPORT",-37.0222,141.2657,03/02/2021,0,0,0,0,0,0,0,0
82158,"EDI UPPER (BLACK RANGE TROUT FARM)",-36.7478,146.5362,03/02/2021,0,0,0,0,0,0,0,0
88164,"EILDON FIRE TOWER",-37.2091,145.8423,03/02/2021,0,0,0,0,0,0,0,0
